metric_id,metric_class,predicted_gap_rank,panel_level_not_per_checkpoint,see_instead,readout,n_checkpoints_with_value,n_families_with_pair,lofo_ba,tuned_ba,gap,lofo_n_groups,lofo_n_used,lolo_ba,lolo_gap,primary_holdout,primary_ba,primary_gap,auroc_2way,null_null_mean,null_null_sd,null_null_p95,null_percentile,null_p_value,null_n_draws_usable,ci_lo,ci_hi,boot_mean,n_boot_usable,lofo_ba_3way,tuned_ba_3way,primary_ba_3way,gap_3way,n_independent_safety_lineages,three_way_status,family_separability_ba,separates_family_more_than_role
k_harm_proj_gap,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.7,nan,3,10,0.4,0.29999999999999993,lineage,0.4,0.29999999999999993,0.68,0.43633333333333324,0.048095968877050616,0.5,0.0,1.0,300,0.125,0.7183603896103893,0.44980552165954846,298,0.19999999999999998,0.4000000000000001,0.06666666666666667,0.2000000000000001,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.2916666666666667,False
k_harm_probe_auroc,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.5,nan,3,10,0.30000000000000004,0.19999999999999996,lineage,0.30000000000000004,0.19999999999999996,0.6000000000000001,0.4943333333333333,0.19765598622072866,0.7,0.0,1.0,300,0.16666666666666666,0.7787499999999995,0.40747140629690964,298,0.19999999999999998,0.4666666666666666,0.13333333333333333,0.2666666666666666,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.5166666666666667,True
k_harm_probe_auroc_max,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.5,nan,3,10,0.30000000000000004,0.19999999999999996,lineage,0.30000000000000004,0.19999999999999996,0.6000000000000001,0.4943333333333333,0.19765598622072866,0.7,0.0,1.0,300,0.16666666666666666,0.7787499999999995,0.40747140629690964,298,0.19999999999999998,0.4666666666666666,0.13333333333333333,0.2666666666666666,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.5166666666666667,True
k_harm_probe_depth_frac,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.6000000000000001,nan,3,10,0.4,0.20000000000000007,lineage,0.4,0.20000000000000007,0.5800000000000001,0.39999999999999997,5.551115123125783e-17,0.4,0.0,1.0,300,0.25,0.6174107142857141,0.43944151486097793,298,0.13333333333333333,0.46666666666666673,0.06666666666666667,0.33333333333333337,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.25,False
k_harm_dir_norm,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.8,nan,3,10,0.6,0.20000000000000007,lineage,0.6,0.20000000000000007,0.76,0.4746666666666668,0.2196016595768094,0.8,52.666666666666664,0.4750830564784053,300,0.09041666666666667,0.9,0.5391452274422073,298,0.19999999999999998,0.6,0.19999999999999998,0.4,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.5583333333333333,False
k_ams_sep_cf,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.6,nan,3,10,0.6,0.0,lineage,0.6,0.0,0.8,0.4843333333333334,0.2353463169222941,0.8,54.333333333333336,0.4584717607973422,300,0.25,0.9,0.5309413647500896,298,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.19999999999999998,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.25,False
k_ams_sep_insample,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.5,nan,3,10,0.5,0.0,lineage,0.5,0.0,0.52,0.48900000000000005,0.17562934454887275,0.7,51.0,0.49169435215946844,300,0.125,0.5833333333333333,0.3864150251314681,298,0.20000000000000004,0.4666666666666666,0.06666666666666667,0.2666666666666666,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.27499999999999997,False
k_ams_layer_frac,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.6,nan,3,10,0.2,0.39999999999999997,lineage,0.2,0.39999999999999997,0.56,0.4276666666666667,0.2177182174789749,0.7,0.0,1.0,300,0.0,1.0,0.3210977827169102,298,0.06666666666666667,0.3333333333333333,0.0,0.26666666666666666,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.25,True
k_twin_probe_auroc,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.7,nan,3,10,0.1,0.6,lineage,0.1,0.6,0.56,0.5083333333333333,0.26400231480466646,0.9,0.0,1.0,300,0.1,1.0,0.3656376202097678,298,0.19999999999999998,0.7333333333333334,0.06666666666666667,0.5333333333333334,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.6666666666666666,True
k_hrci_repr,LEVEL-KNOWLEDGE,3.0,False,,probe_cf,15,3,nan,0.8,nan,3,10,0.8,0.0,lineage,0.8,0.0,0.8,0.47333333333333333,0.29870089089626467,0.8,76.66666666666667,0.23588039867109634,300,0.25,1.0,0.6214230633274258,298,0.3333333333333333,0.5333333333333333,0.26666666666666666,0.2,3,DESCRIPTIVE ONLY (below the pre-registered floor of 5 independent safety lineages),0.5166666666666667,False
